Prefectures,In,Out
Hokkaido,53382,58620
Aomori,16236,21892
Iwate,16220,20843
Miyagi,45915,47367
Akita,10697,13606
Yamagata,12670,16523
Fukushima,24226,30805
Ibaraki,58289,60152
Tochigi,37296,21888
Gumma,37100,22408
Saitama,189756,164917
Chiba,161274,156489
Tokyo,454133,385848
Kanagawa,236543,207937
Niigata,22504,28354
Toyama,13854,15716
Ishikawa,18515,20976
Fukui,9686,13094
Yamanashi,15277,15863
Nagano,31372,33300
Gifu,32505,37021
Shizuoka,58742,64896
Aichi,123979,131387
Mie,30432,36829
Shiga,30684,30672
Kyoto,59452,62087
Osaka,177874,167082
Hyogo,92924,100321
Nara,24515,25834
Wakayama,12051,14174
Tottori,8482,10238
Shimane,10697,12586
Okayama,28918,34539
Hiroshima,44660,56069
Yamaguchi,23185,26903
Tokushima,9418,11975
Kagawa,16283,19067
Ehime,17727,22506
Kochi,9204,11039
Fukuoka,105094,100707
Saga,16261,17437
Nagasaki,21853,28292
Kumamoto,30375,31999
Oita,19604,22712
Miyazaki,18843,19954
Kagoshima,27085,29837
Okinawa,28847,29337
