Continent,Country,Total, Female, Male,Percentage
Asia,India,36058,7525,28533,1.3
Asia,Indonesia,59820,7085,52735,2.2
Asia,Korea,436167,366287,69880,15.8
Asia,Thailand,50324,20996,29328,1.8
Asia,China,767797,321305,446492,27.8
Asia,Bangladesh,17538,3784,13754,0.6
Asia,Philippines,276615,135350,141265,10.0
Asia,Viet Nam,432934,20210,412724,15.7
Asia,Malaysia,9659,3027,6632,0.3
Europe,United Kingdom,16163,6519,9644,0.6
Europe,Germany,5553,1876,3677,0.2
Europe,France,11319,3317,8002,0.4
North America,Canada,9848,4103,5745,0.4
North America,U.S.A.,54162,19606,34556,2.0
South America,Brazil,204879,112923,91956,7.4
South America,Peru,48291,33304,14987,1.7
Others,Australia,8960,3245,5715,0.3
