Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,6.8,6.8,7.0,7.4,7.3,6.5,6.8,8.8,14.0,16.4,19.9,25.8,26.9,28.2,29.6,31.1,32.2,32.5,33.2,33.0,32.8,32.0,31.4,30.7,30.2,29.9,28.9,27.8
Korea, 91.0, 90.1, 89.3, 87.6, 86.7, 86.1, 84.9, 80.3, 64.0, 48.9, 37.7, 29.8, 28.7, 27.6, 26.6, 26.5, 26.5, 26.2, 26.1, 25.2, 23.6, 22.0, 20.4, 18.8, 17.5, 16.2, 15.7, 15.8
VietNam, 0.0 , 0.0 , 0.0 , 0.0 , 0.1 , 0.1 , 0.4 , 0.5 , 0.6 , 0.7 , 1.0 , 1.4 , 1.6 , 1.7 , 1.9 , 1.9 , 2.0 , 2.2 , 2.6 , 3.5 , 4.7 , 6.6 , 8.4 , 10.2, 12.1, 14.0, 15.5, 15.7
Philippines,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.4 ,0.7 ,1.4 ,4.6 ,5.5 ,8.6 ,9.3 ,9.3 ,9.4 ,9.5 ,9.7 ,9.8 ,10.1,10.0,10.1,10.3,10.3,10.2, 10.2, 9.9 , 9.6 , 9.7 , 10.0
Brazil,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,5.2 ,13.0,15.1,15.0,15.0,14.7,14.1,12.2,10.8, 10.1, 9.4 , 8.8 , 8.3 , 7.8 , 7.6 , 7.5 ,7.4 ,7.2 ,7.2 , 7.4 
Nepal,0  0,0  0,0  0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 , 0.1 , 0.2 , 0.3 , 0.4 , 0.4 , 0.6 , 0.7 , 0.8 , 1.0 ,1.2 ,1.5 ,2.0 ,2.5 ,2.8 ,3.1 ,3.3 ,3.3 ,3.3 ,3.5 
Indonesia,.0 ,.0 ,.1 ,0.2 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.5 ,1.1 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.3 ,1.3 ,1.4 ,1.6 ,1.8 ,2.0 ,2.1 ,2.3 ,2.3 ,2.2 
U.S.A,0.8 ,1.3 ,1.8 ,2.4 ,2.7 ,2.9 ,2.9 ,3.4 ,3.6 ,3.2 ,2.7 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.3 ,2.3 ,2.2 ,2.1 ,2.0 ,1.9 ,2.0 
Other,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3 ,0.6 ,1.2 ,1.7 ,1.9 ,1.9 ,1.9 ,1.9 ,2.0 ,1.9 ,2.1 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.8 ,1.8 
